,COMMODITY_DESC,SUB_COMMODITY_DESC,SALES_VALUE,QUANTITY
1130,DINNER SAUSAGE,SMOKED/COOKED,23358.790000000903,9519
535,CANDY - CHECKLANE,CHEWING GUM,8130.429999999139,9495
3087,SALAD BAR,SALAD BAR FRESH FRUIT,28757.739999999874,9224
641,CAT FOOD,CAN CATFD GOURMET/SUP PREM (GR,5121.289999999971,9094
3009,REFRGRATD DOUGH PRODUCTS,REFRIGERATED BISCUITS REGULAR,11765.760000000111,9093
1648,FROZEN PIZZA,PIZZA/TRADITIONAL,25474.2699999998,9039
143,BABY FOODS,BABY FOOD JUNIOR ALL BRANDS,8692.199999999828,8957
3868,WATER - CARBONATED/FLVRD DRINK,SPRING WATER,21952.420000000333,8931
2380,LUNCHMEAT,POULTRY,19878.140000000203,8925
1251,DRY NOODLES/PASTA,SPAGHETTI DRY,8476.43000000032,8911
190,BAG SNACKS,PRETZELS,14814.939999999877,8840
1254,DRY SAUCES/GRAVY,SAUCE MIXES GRAVY MIXES DRY,7105.139999999903,8778
3763,VEGETABLES - ALL OTHERS,CUCUMBERS,7406.899999999808,8712
336,BEANS - CANNED GLASS & MW,PREPARED BEANS - BAKED W/PORK,8518.05999999988,8703
3871,YOGURT,YOGURT MULTI-PACKS,21525.900000001504,8488
2369,LUNCHMEAT,BOLOGNA,13698.90999999939,8415
2881,PORK,ENHANCED,43395.13000000009,8232
1036,CRACKERS/MISC BKD FD,CHEESE CRACKERS (CHEEZ-ITS/GOL,17252.889999999938,8157
941,CONVENIENT BRKFST/WHLSM SNACKS,TOASTER PASTRIES,14390.300000000449,8110
2783,PEPPERS-ALL,PEPPERS GREEN BELL,5892.1399999999085,8096
2290,LAUNDRY DETERGENTS,LIQUID LAUNDRY DETERGENTS,45031.12000000093,8057
2123,ICE CREAM/MILK/SHERBTS,TRADITIONAL,16162.36999999927,8025
3795,VEGETABLES - SHELF STABLE,TOMATO SAUCE,4698.079999999944,7851
3123,SALD DRSNG/SNDWCH SPRD,SEMI-SOLID SALAD DRESSING MAY,18361.369999999813,7843
3800,VEGETABLES SALAD,HEAD LETTUCE,7718.179999998906,7823
1066,DELI MEATS,MEAT: TURKEY BULK,36102.670000000115,7800
2871,PNT BTR/JELLY/JAMS,PEANUT BUTTER,18228.850000000195,7763
1250,DRY NOODLES/PASTA,NOODLES DRY,8683.32999999976,7708
2371,LUNCHMEAT,HAM,17290.46999999984,7609
1141,DOG FOODS,CAN DOG FOOD (SKIPPY/PEDIGREE/,5387.220000000023,7605
1333,FACIAL TISS/DNR NAPKIN,FACIAL TISSUE & PAPER HANDKE,13227.569999999929,7484
1700,FRZN POTATOES,FRZN FRENCH FRIES,14451.87000000051,7474
1546,FLUID MILK PRODUCTS,REFRIGERATED COFFEE CREAMERS,15252.7900000003,7467
1669,FRZN BREAKFAST FOODS,WAFFLES/PANCAKES/FRENCH TOAST,12706.520000000137,7446
687,CHEESE,STRING CHEESE,11862.069999999807,7154
1784,GREETING CARDS/WRAP/PARTY SPLY,CARDS EVERYDAY,17247.78000000026,7145
3016,REFRGRATD DOUGH PRODUCTS,REFRIGERATED SPECILATY ROLLS,12483.579999999667,7069
1068,DELI MEATS,MEAT:HAM BULK,31551.000000000164,7054
3333,SOUP,BROTH,6713.079999999919,7028
3022,REFRGRATD JUICES/DRNKS,DAIRY CASE JUICE DRNK UNDER 10,10610.030000000017,7022
1684,FRZN MEAT/MEAT DINNERS,FRZN MULTI SERVE ENTREES ALL,32106.750000002627,7017
1119,DINNER MXS:DRY,SKILLET DINNERS,11755.229999999981,6956
2516,MEAT - SHELF STABLE,CHILI: CANNED,13944.280000000148,6936
2000,HISPANIC,MEXICAN SAUCESSALSAPICANTEE,15278.000000000038,6924
1646,FROZEN PIZZA,PIZZA/PREMIUM,29275.160000000313,6883
640,CARROTS,CARROTS MINI PEELED,12169.569999999298,6864
1045,CRACKERS/MISC BKD FD,SOUP CRACKERS (SALTINE/OYSTER),9400.470000000025,6813
1597,FROZEN BREAD/DOUGH,FRZN GARLIC BREAD/TOAST/STICKS,13384.480000000065,6797
2092,HOT DOGS,PREMIUM - MEAT,13694.150000000349,6744
2088,HOT DOGS,ECONOMY - MEAT,7191.219999999696,6710
3824,WAREHOUSE SNACKS,CANISTER POTATO/TORT CHIPS,8276.599999999791,6703
1611,FROZEN MEAT,FRZN BREADED PREPARED CHICK,28103.26000000114,6677
254,BAKING MIXES,MUFFIN & CORN BREAD MIX,4797.239999999996,6641
898,CONDIMENTS/SAUCES,CATSUP,10345.759999999978,6584
2479,MARGARINES,MARGARINE  STICK,4903.46000000004,6495
1234,DRY BN/VEG/POTATO/RICE,NOODLE SIDE DISH MIXES,6422.149999999936,6377
934,CONVENIENT BRKFST/WHLSM SNACKS,FRUIT SNACKS,12011.060000000256,6320
1710,FRZN VEGETABLE/VEG DSH,FRZN BOXED VEGETABLES- VALUE A,8376.570000000034,6271
3320,SOFT DRINKS,SOFT DRINKS 20PK&24PK CAN CARB,35682.11000000138,6165
554,CANDY - PACKAGED,CANDY BAGS-CHOCOCLATE,14850.049999999836,6138
498,BUTTER,BUTTER,16684.509999999522,6126
2689,ONIONS,ONIONS SWEET (BULK&BAG),7568.890000000009,6106
825,COFFEE,GROUND COFFEE,29384.190000002316,6029
3094,SALAD MIX,REGULAR GARDEN,10378.419999999536,5972
1697,FRZN NOVELTIES/WTR ICE,STICKS/ENROBED,13917.4999999999,5956
935,CONVENIENT BRKFST/WHLSM SNACKS,GRANOLA BARS,13598.430000000088,5935
690,CHEESES,CHEESE: NATURAL BULK,19231.40000000014,5898
172,BACON,ECONOMY,16381.339999999758,5890
897,CONDIMENTS/SAUCES,BBQ SAUCE,9634.629999999926,5867
1042,CRACKERS/MISC BKD FD,SNACK CRACKERS,13398.880000000012,5848
457,BREAKFAST SAUSAGE/SANDWICHES,ROLLS - PORK,14580.889999999987,5826
1035,CRACKERS/MISC BKD FD,BUTTER SPRAY CRACKER (RITZ/CLU,13367.859999999666,5807
2711,ORAL HYGIENE PRODUCTS,TOOTHPASTE,14245.000000000091,5797
2001,HISPANIC,MEXICAN SEASONING MIXES,3555.309999999987,5787
215,BAKED BREAD/BUNS/ROLLS,PREMIUM BREAD,13733.910000000358,5704
1777,GRAPES,GRAPES RED,17152.309999999965,5702
1249,DRY NOODLES/PASTA,MACARONI DRY,6201.71999999997,5451
2615,NEWSPAPER,NEWSPAPER,5912.699999999914,5438
251,BAKING MIXES,LAYER CAKE MIX,5854.120000000029,5438
1286,EGGS,EGGS - MEDIUM,3777.699999999996,5416
1837,HAIR CARE PRODUCTS,SHAMPOO,14421.799999999725,5382
3090,SALAD MIX,BLENDS,14042.66999999957,5341
1414,FITNESS&DIET,FITNESS&DIET - BARS,6927.519999999934,5324
1663,FRUIT - SHELF STABLE,PINEAPPLE,5376.329999999931,5309
556,CANDY - PACKAGED,CANDY BAGS-NON CHOCOLATE,8701.759999999864,5305
436,BREAD,BREAD:ITALIAN/FRENCH,7818.059999999668,5253
1094,DIAPERS & DISPOSABLES,BABY DIAPERS,59511.13999999724,5239
2687,ONIONS,ONIONS OTHER,2834.8800000000083,5182
2874,POPCORN,POPCORN - MICROWAVE,12033.16999999982,5154
1235,DRY BN/VEG/POTATO/RICE,POTATOES: DRY,7621.259999999956,5146
3092,SALAD MIX,GARDEN PLUS,11418.509999999653,5124
3787,VEGETABLES - SHELF STABLE,PEAS GREEN,3009.370000000037,5104
1638,FROZEN PIE/DESSERTS,FRZN WHIPPED TOPPING,6361.719999999885,5050
